BJD - 2454833,Corrected Flux
2751.633306,0.999366878
2751.653738,0.999298597
2751.67417,0.999332729
2751.694602,0.999557952
2751.715034,0.999765604
2751.735466,0.999886082
2751.755898,0.999881989
2751.77633,1.000289374
2751.796762,1.000468142
2751.817194,1.000207194
2751.837626,1.000215955
2751.858058,1.000421448
2751.87849,1.000449583
2751.898922,1.000454001
2751.919354,1.000478992
2751.939786,1.00055706
2751.960218,1.00060689
2751.98065,1.000718702
2752.001081,1.00079005
2752.021514,1.000860888
2752.041945,1.000959823
2752.062377,1.000859547
2752.082809,1.000990297
2752.123673,1.00104709
2752.144105,1.000973712
2752.164537,1.001154503
2752.184969,1.000934165
2752.205401,1.001057918
2752.225833,1.001092904
2752.246265,1.001692043
2752.266697,1.001218889
2752.287129,1.001733159
2752.307561,1.001417987
2752.327992,1.001228171
2752.348424,1.001281018
2752.368856,1.001146545
2752.389288,1.001362869
2752.40972,1.001555759
2752.430152,1.001462784
2752.450584,1.001548975
2752.471016,1.001511014
2752.491448,1.001727329
2752.51188,1.001724191
2752.532312,1.001637491
2752.552744,1.001878969
2752.573176,1.001800935
2752.61404,1.002214801
2752.634471,1.001944899
2752.654903,1.001889627
2752.675335,1.001764063
2752.695767,1.002079713
2752.716199,1.002072154
2752.736631,1.002098755
2752.757063,1.002256391
2752.777495,1.002255603
2752.797927,1.002053442
2752.818359,1.00205552
2752.838791,1.002075956
2752.859223,1.002123926
2752.879655,1.002158465
2752.900087,1.002380762
2752.920519,1.00260106
2752.94095,1.00248644
2752.961382,1.002635913
2752.981814,1.002670285
2753.002246,1.002372787
2753.022678,1.00250284
2753.04311,1.002627682
2753.063542,1.002640404
2753.124838,1.002949616
2753.14527,1.002866063
2753.165701,1.002921494
2753.186133,1.002760489
2753.206565,1.003255249
2753.226997,1.003557599
2753.247429,1.002923851
2753.267861,1.003260697
2753.288293,1.003048355
2753.308725,1.002871752
2753.329157,1.003101252
2753.349589,1.00307965
2753.370021,1.00311429
2753.390453,1.002940944
2753.410885,1.003152222
2753.431317,1.003066009
2753.451748,1.002914409
2753.47218,1.002897718
2753.492612,1.003006426
2753.513044,1.003201444
2753.533476,1.002913716
2753.553908,1.003001223
2753.594772,1.002898253
2753.6765,1.002432554
2753.696931,1.002432161
2753.717363,1.002407956
2753.737795,1.002635824
2753.758227,1.002690717
2753.778659,1.002640717
2753.799091,1.002508792
2753.819523,1.002351584
2753.839955,1.001981961
2753.860387,1.001540137
2753.880819,1.001488824
2753.901251,1.001455704
2753.921682,1.001559719
2753.942114,1.001437874
2753.962546,1.001324368
2753.982978,1.001352751
2754.00341,1.000795998
2754.023842,1.000936165
2754.044274,1.001019402
2754.085138,1.001501977
2754.10557,1.001229556
2754.126002,1.001154907
2754.146433,1.00119141
2754.166865,1.001225031
2754.187297,1.001178212
2754.207729,1.000592226
2754.228161,1.000257943
2754.248593,1.000447729
2754.269025,1.000240522
2754.289457,1.000524588
2754.309889,1.000558788
2754.330321,1.000575883
2754.350752,1.000541024
2754.371184,1.000438489
2754.391616,1.000602375
2754.412048,1.000315534
2754.43248,1.000409445
2754.452912,1.000268012
2754.473344,1.000279
2754.493776,1
2754.514208,1.000006703
2754.53464,1.000063034
2754.575503,1.001013846
2754.595935,1.000548392
2754.616367,1.000445589
2754.636799,1.000665564
2754.657231,1.000486683
2754.677663,1.000753417
2754.698095,1.000729652
2754.718527,1.000641287
2754.738959,1.000826281
2754.759391,1.000922608
2754.779823,1.000900173
2754.800254,1.000997573
2754.820686,1.000671887
2754.841118,1.00053853
2754.86155,1.000335421
2754.881982,1.00062691
2754.902414,1.000128445
2754.922846,1.000391276
2754.943278,1.000147735
2754.96371,1.000258297
2754.984141,1.000194125
2755.004573,0.999808473
2755.025005,0.99953832
2755.065869,1.000782603
2755.086301,1.00067001
2755.106733,1.000408023
2755.127165,1.000354306
2755.147597,1.000732934
2755.168028,1.00029004
2755.18846,1.000486902
2755.208892,1.000435457
2755.229324,1.000491087
2755.249756,1.000365388
2755.270188,1.000392947
2755.29062,1.000427775
2755.311052,1.000467656
2755.331484,1.0006519
2755.351915,1.000217254
2755.372347,0.999949445
2755.392779,0.999781978
2755.413211,0.999823892
2755.433643,0.999786486
2755.454075,0.999400774
2755.474507,0.999545334
2755.494939,0.999631449
2755.515371,0.999427069
2755.556234,0.999964298
2755.576666,0.999877312
2755.597098,1.000038007
2755.61753,0.999830832
2755.637962,0.999734305
2755.658394,0.999781084
2755.678826,0.999669505
2755.699258,0.999598991
2755.719689,0.999544241
2755.740121,0.999560567
